epoch,time
1,6.4899
2,12.8318
3,19.3227
4,25.6832
5,32.1523
6,38.5029
7,45.0008
8,51.32
9,57.8236
10,64.1402
11,70.6209
12,76.9696
13,83.4668
14,89.8541
15,96.3168
16,102.7219
17,109.188
18,115.5788
19,121.995
20,128.4015
21,134.7973
22,141.2244
23,147.6158
24,154.0755
25,160.4277
26,166.9062
27,173.2001
28,179.6476
29,185.9722
30,192.4335
31,198.7441
32,205.2435
33,211.5539
34,218.0395
35,224.3613
36,230.8299
37,237.1524
38,243.6121
39,249.9194
40,256.392
41,262.7206
42,269.1841
43,275.5046
44,281.9822
45,288.3015
46,294.7723
47,301.0995
48,307.5912
49,313.9132
50,320.4039
51,326.723
52,333.1723
53,339.4886
54,345.9486
55,352.2999
56,358.7631
57,365.1329
58,371.5706
59,377.9367
60,384.3725
61,390.7624
62,397.1373
63,403.5647
64,409.9377
65,416.395
66,422.7294
67,429.2307
68,435.5656
69,442.0152
70,448.3181
71,454.7564
72,461.0589
73,467.5303
74,473.8735
75,480.3548
76,486.6703
77,493.1595
78,499.4814
79,505.9721
80,512.2738
81,518.7417
82,525.0506
83,531.5611
84,537.8777
85,544.3367
86,550.6436
87,557.0929
88,563.4261
89,569.8788
90,576.1743
91,582.6571
92,588.9568
93,595.428
94,601.7298
95,608.1844
96,614.5013
97,620.9684
98,627.2724
99,633.7382
100,640.0409
